ticker,date,DeltaT,Modello,Measure,Moneyness,Density
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6608040201005025,0.0040582628894374
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6658291457286432,0.0041224386129548
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6708542713567839,0.0041884616026564
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6758793969849246,0.0042635035978405
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6809045226130653,0.0043403663531645
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6859296482412061,0.004425523682463
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6909547738693468,0.0045122424458232
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6959798994974874,0.0046056178491283
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.701005025125628,0.0047000426258914
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7060301507537688,0.0047986648964894
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7110552763819095,0.0048976090054752
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7160804020100503,0.0049977638398244
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7211055276381909,0.0050968231664905
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7261306532663316,0.0051919984204659
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7311557788944723,0.0052855681906451
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7361809045226131,0.0053737630802911
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7412060301507537,0.0054542489882627
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7462311557788945,0.0055103231209298
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7512562814070352,0.005564446323906
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7562814070351758,0.0056127167378104
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7613065326633165,0.0056674661620286
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7663316582914572,0.0057406558463701
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7713567839195979,0.0058150031223682
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7763819095477387,0.0058924801832189
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7814070351758794,0.005972535209828
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.78643216080402,0.0060592192912476
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7914572864321607,0.006147735637581
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.7964824120603015,0.0062407378738762
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8015075376884422,0.0063350232611229
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8065326633165829,0.0064323026672611
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8115577889447236,0.0065300010067651
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8165829145728642,0.0066286318108598
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8216080402010049,0.0067258088738526
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8266331658291457,0.0068198967369999
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8316582914572863,0.0069128093853137
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8366834170854272,0.0070033359913895
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8417085427135678,0.0070826224131669
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8467336683417085,0.007140089653659
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8517587939698491,0.0071965655045032
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8567839195979899,0.0072512002031451
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8618090452261306,0.0073173682287652
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8668341708542714,0.0074040399467923
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.871859296482412,0.0074924561179696
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8768844221105526,0.0075838425742412
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8819095477386933,0.0076763165402663
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8869346733668342,0.0077705648643109
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8919597989949748,0.0078626044980432
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.8969849246231156,0.0079511895135951
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9020100502512562,0.0080352146090894
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9070351758793967,0.0081123998244976
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9120603015075376,0.0081819652434801
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9170854271356784,0.0082405655895587
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.922110552763819,0.008291480087005
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9271356783919598,0.0083317807934828
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9321608040201004,0.008354609318516
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9371859296482412,0.0083542770448894
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9422110552763816,0.0083658552312847
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9472361809045226,0.0083925921849801
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9522613065326632,0.0084027289976585
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.957286432160804,0.0083925767490925
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9623115577889446,0.0083385875742738
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9673366834170852,0.0082331376599408
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.972361809045226,0.0081163906189713
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9773869346733668,0.007986904264986
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9824120603015074,0.0078662819553912
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9874371859296482,0.0077552623605522
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9924623115577887,0.0076717290937732
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.9974874371859296,0.0076168040459962
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.00251256281407,0.0076029278162891
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.007537688442211,0.0076301004046523
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0125628140703518,0.0077045447981053
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.0175879396984924,0.0078244072003699
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,1.022613065326633,0.007998981028609
